Area,Main means of travel to education,Age group,Sex,Year,Value,Flags
"Northcote Point (Auckland)","Train","Total people - age group","Total people - sex","2018",3,
"Northcote Point (Auckland)","Ferry","Total people - age group","Total people - sex","2018",6,
"Northcote Point (Auckland)","Other","Total people - age group","Total people - sex","2018",6,
"McLaren Park","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1134,
"McLaren Park","Study at home","Total people - age group","Total people - sex","2018",45,
"McLaren Park","Drive a car, truck or van","Total people - age group","Total people - sex","2018",117,
"McLaren Park","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",609,
"McLaren Park","Bicycle","Total people - age group","Total people - sex","2018",15,
"McLaren Park","Walk or jog","Total people - age group","Total people - sex","2018",108,
"McLaren Park","School bus","Total people - age group","Total people - sex","2018",33,
"McLaren Park","Public bus","Total people - age group","Total people - sex","2018",66,
"McLaren Park","Train","Total people - age group","Total people - sex","2018",126,
"McLaren Park","Ferry","Total people - age group","Total people - sex","2018",0,
"McLaren Park","Other","Total people - age group","Total people - sex","2018",15,
"Henderson East","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",654,
"Henderson East","Study at home","Total people - age group","Total people - sex","2018",21,
"Henderson East","Drive a car, truck or van","Total people - age group","Total people - sex","2018",69,
"Henderson East","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",282,
"Henderson East","Bicycle","Total people - age group","Total people - sex","2018",3,
"Henderson East","Walk or jog","Total people - age group","Total people - sex","2018",81,
"Henderson East","School bus","Total people - age group","Total people - sex","2018",42,
"Henderson East","Public bus","Total people - age group","Total people - sex","2018",81,
"Henderson East","Train","Total people - age group","Total people - sex","2018",57,
"Henderson East","Ferry","Total people - age group","Total people - sex","2018",0,
"Henderson East","Other","Total people - age group","Total people - sex","2018",18,
"Te Atatu South-McLeod South","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",945,
"Te Atatu South-McLeod South","Study at home","Total people - age group","Total people - sex","2018",42,
"Te Atatu South-McLeod South","Drive a car, truck or van","Total people - age group","Total people - sex","2018",111,
"Te Atatu South-McLeod South","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",339,
"Te Atatu South-McLeod South","Bicycle","Total people - age group","Total people - sex","2018",12,
"Te Atatu South-McLeod South","Walk or jog","Total people - age group","Total people - sex","2018",201,
"Te Atatu South-McLeod South","School bus","Total people - age group","Total people - sex","2018",57,
"Te Atatu South-McLeod South","Public bus","Total people - age group","Total people - sex","2018",135,
"Te Atatu South-McLeod South","Train","Total people - age group","Total people - sex","2018",27,
"Te Atatu South-McLeod South","Ferry","Total people - age group","Total people - sex","2018",0,
"Te Atatu South-McLeod South","Other","Total people - age group","Total people - sex","2018",18,
"Takapuna South","Other","Total people - age group","Total people - sex","2018",0,
"Rosebank Peninsula","Other","Total people - age group","Total people - sex","2018",,c
"Hauraki","Public bus","Total people - age group","Total people - sex","2018",117,
"Hauraki","Train","Total people - age group","Total people - sex","2018",3,
"Hauraki","Ferry","Total people - age group","Total people - sex","2018",9,
"Hauraki","Other","Total people - age group","Total people - sex","2018",9,
"Glendene North","Public bus","Total people - age group","Total people - sex","2018",144,
"Glendene North","Train","Total people - age group","Total people - sex","2018",54,
"Glendene North","Ferry","Total people - age group","Total people - sex","2018",0,
"Glendene North","Other","Total people - age group","Total people - sex","2018",21,
"Sunnyvale West-Parrs Park","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",732,
"Sunnyvale West-Parrs Park","Study at home","Total people - age group","Total people - sex","2018",18,
"Sunnyvale West-Parrs Park","Drive a car, truck or van","Total people - age group","Total people - sex","2018",96,
"Sunnyvale West-Parrs Park","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",387,
"Sunnyvale West-Parrs Park","Bicycle","Total people - age group","Total people - sex","2018",3,
"Sunnyvale West-Parrs Park","Walk or jog","Total people - age group","Total people - sex","2018",27,
"Sunnyvale West-Parrs Park","School bus","Total people - age group","Total people - sex","2018",27,
"Sunnyvale West-Parrs Park","Public bus","Total people - age group","Total people - sex","2018",39,
"Sunnyvale West-Parrs Park","Train","Total people - age group","Total people - sex","2018",114,
"Sunnyvale West-Parrs Park","Ferry","Total people - age group","Total people - sex","2018",0,
"Sunnyvale West-Parrs Park","Other","Total people - age group","Total people - sex","2018",24,
"Sunnyvale East","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1242,
"Sunnyvale East","Study at home","Total people - age group","Total people - sex","2018",54,
"Sunnyvale East","Drive a car, truck or van","Total people - age group","Total people - sex","2018",129,
"Sunnyvale East","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",570,
"Sunnyvale East","Bicycle","Total people - age group","Total people - sex","2018",9,
"Sunnyvale East","Walk or jog","Total people - age group","Total people - sex","2018",135,
"Sunnyvale East","School bus","Total people - age group","Total people - sex","2018",51,
"Sunnyvale East","Public bus","Total people - age group","Total people - sex","2018",96,
"Sunnyvale East","Train","Total people - age group","Total people - sex","2018",165,
"Sunnyvale East","Ferry","Total people - age group","Total people - sex","2018",0,
"Sunnyvale East","Other","Total people - age group","Total people - sex","2018",24,
"Point Chevalier West","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",897,
"Point Chevalier West","Study at home","Total people - age group","Total people - sex","2018",18,
"Point Chevalier West","Drive a car, truck or van","Total people - age group","Total people - sex","2018",78,
"Point Chevalier West","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",240,
"Point Chevalier West","Bicycle","Total people - age group","Total people - sex","2018",126,
"Point Chevalier West","Walk or jog","Total people - age group","Total people - sex","2018",210,
"Point Chevalier West","School bus","Total people - age group","Total people - sex","2018",57,
"Point Chevalier West","Public bus","Total people - age group","Total people - sex","2018",144,
"Point Chevalier West","Train","Total people - age group","Total people - sex","2018",12,
"Point Chevalier West","Ferry","Total people - age group","Total people - sex","2018",0,
"Point Chevalier West","Other","Total people - age group","Total people - sex","2018",9,
"Belmont (Auckland)","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",792,
"Belmont (Auckland)","Study at home","Total people - age group","Total people - sex","2018",45,
"Belmont (Auckland)","Drive a car, truck or van","Total people - age group","Total people - sex","2018",72,
"Belmont (Auckland)","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",174,
"Belmont (Auckland)","Bicycle","Total people - age group","Total people - sex","2018",39,
"Belmont (Auckland)","Walk or jog","Total people - age group","Total people - sex","2018",348,
"Belmont (Auckland)","School bus","Total people - age group","Total people - sex","2018",18,
"Belmont (Auckland)","Public bus","Total people - age group","Total people - sex","2018",57,
"Belmont (Auckland)","Train","Total people - age group","Total people - sex","2018",3,
"Belmont (Auckland)","Ferry","Total people - age group","Total people - sex","2018",36,
"Belmont (Auckland)","Other","Total people - age group","Total people - sex","2018",6,
"Glendene South","Public bus","Total people - age group","Total people - sex","2018",57,
"Glendene South","Train","Total people - age group","Total people - sex","2018",51,
"Glendene South","Ferry","Total people - age group","Total people - sex","2018",0,
"Glendene South","Other","Total people - age group","Total people - sex","2018",9,
"Herne Bay","Public bus","Total people - age group","Total people - sex","2018",87,
"Herne Bay","Train","Total people - age group","Total people - sex","2018",21,
"Herne Bay","Ferry","Total people - age group","Total people - sex","2018",0,
"Herne Bay","Other","Total people - age group","Total people - sex","2018",3,
"Point Chevalier East","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1299,
"Point Chevalier East","Study at home","Total people - age group","Total people - sex","2018",39,
"Point Chevalier East","Drive a car, truck or van","Total people - age group","Total people - sex","2018",117,
"Point Chevalier East","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",330,
"Point Chevalier East","Bicycle","Total people - age group","Total people - sex","2018",108,
"Point Chevalier East","Walk or jog","Total people - age group","Total people - sex","2018",414,
"Point Chevalier East","School bus","Total people - age group","Total people - sex","2018",72,
"Point Chevalier East","Public bus","Total people - age group","Total people - sex","2018",204,
"Point Chevalier East","Train","Total people - age group","Total people - sex","2018",6,
"Point Chevalier East","Ferry","Total people - age group","Total people - sex","2018",0,
"Point Chevalier East","Other","Total people - age group","Total people - sex","2018",12,
"Oratia","Public bus","Total people - age group","Total people - sex","2018",18,
"Oratia","Train","Total people - age group","Total people - sex","2018",78,
"Oratia","Ferry","Total people - age group","Total people - sex","2018",0,
"Oratia","Other","Total people - age group","Total people - sex","2018",6,
"Glen Eden Rosier","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",930,
"Glen Eden Rosier","Study at home","Total people - age group","Total people - sex","2018",36,
"Glen Eden Rosier","Drive a car, truck or van","Total people - age group","Total people - sex","2018",108,
"Glen Eden Rosier","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",513,
"Glen Eden Rosier","Bicycle","Total people - age group","Total people - sex","2018",3,
"Glen Eden Rosier","Walk or jog","Total people - age group","Total people - sex","2018",39,
"Glen Eden Rosier","School bus","Total people - age group","Total people - sex","2018",66,
"Glen Eden Rosier","Public bus","Total people - age group","Total people - sex","2018",63,
"Glen Eden Rosier","Train","Total people - age group","Total people - sex","2018",90,
"Glen Eden Rosier","Ferry","Total people - age group","Total people - sex","2018",0,
"Glen Eden Rosier","Other","Total people - age group","Total people - sex","2018",9,
"Saint Marys Bay","Drive a car, truck or van","Total people - age group","Total people - sex","2018",45,
"Saint Marys Bay","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",60,
"Saint Marys Bay","Bicycle","Total people - age group","Total people - sex","2018",9,
"Saint Marys Bay","Walk or jog","Total people - age group","Total people - sex","2018",108,
"Saint Marys Bay","School bus","Total people - age group","Total people - sex","2018",48,
"Saint Marys Bay","Public bus","Total people - age group","Total people - sex","2018",57,
"Saint Marys Bay","Train","Total people - age group","Total people - sex","2018",9,
"Saint Marys Bay","Ferry","Total people - age group","Total people - sex","2018",0,
"Saint Marys Bay","Other","Total people - age group","Total people - sex","2018",9,
"Westmere South-Western Springs","Public bus","Total people - age group","Total people - sex","2018",93,
"Westmere South-Western Springs","Train","Total people - age group","Total people - sex","2018",6,
"Westmere South-Western Springs","Ferry","Total people - age group","Total people - sex","2018",0,
"Westmere South-Western Springs","Other","Total people - age group","Total people - sex","2018",12,
"Ponsonby West","Other","Total people - age group","Total people - sex","2018",6,
"Kelston North","Public bus","Total people - age group","Total people - sex","2018",78,
"Kelston North","Train","Total people - age group","Total people - sex","2018",39,
"Kelston North","Ferry","Total people - age group","Total people - sex","2018",0,
"Kelston North","Other","Total people - age group","Total people - sex","2018",6,
"Avondale Rosebank","Drive a car, truck or van","Total people - age group","Total people - sex","2018",132,
"Avondale Rosebank","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",468,
"Avondale Rosebank","Bicycle","Total people - age group","Total people - sex","2018",21,
"Avondale Rosebank","Walk or jog","Total people - age group","Total people - sex","2018",288,
"Avondale Rosebank","School bus","Total people - age group","Total people - sex","2018",9,
"Avondale Rosebank","Public bus","Total people - age group","Total people - sex","2018",141,
"Avondale Rosebank","Train","Total people - age group","Total people - sex","2018",33,
"Avondale Rosebank","Ferry","Total people - age group","Total people - sex","2018",0,
"Avondale Rosebank","Other","Total people - age group","Total people - sex","2018",12,
"Narrow Neck","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1134,
"Narrow Neck","Study at home","Total people - age group","Total people - sex","2018",45,
"Narrow Neck","Drive a car, truck or van","Total people - age group","Total people - sex","2018",102,
"Narrow Neck","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",372,
"Narrow Neck","Bicycle","Total people - age group","Total people - sex","2018",168,
"Narrow Neck","Walk or jog","Total people - age group","Total people - sex","2018",246,
"Narrow Neck","School bus","Total people - age group","Total people - sex","2018",60,
"Narrow Neck","Public bus","Total people - age group","Total people - sex","2018",36,
"Narrow Neck","Train","Total people - age group","Total people - sex","2018",3,
"Narrow Neck","Ferry","Total people - age group","Total people - sex","2018",87,
"Narrow Neck","Other","Total people - age group","Total people - sex","2018",15,
"Glen Eden North","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",597,
"Glen Eden North","Study at home","Total people - age group","Total people - sex","2018",12,
"Glen Eden North","Drive a car, truck or van","Total people - age group","Total people - sex","2018",69,
"Glen Eden North","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",255,
"Glen Eden North","Bicycle","Total people - age group","Total people - sex","2018",3,
"Glen Eden North","Walk or jog","Total people - age group","Total people - sex","2018",87,
"Glen Eden North","School bus","Total people - age group","Total people - sex","2018",21,
"Glen Eden North","Public bus","Total people - age group","Total people - sex","2018",30,
"Glen Eden North","Train","Total people - age group","Total people - sex","2018",105,
"Glen Eden North","Ferry","Total people - age group","Total people - sex","2018",0,
"Glen Eden North","Other","Total people - age group","Total people - sex","2018",12,
"Glen Eden Woodglen","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1104,
"Glen Eden Woodglen","Study at home","Total people - age group","Total people - sex","2018",57,
"Glen Eden Woodglen","Drive a car, truck or van","Total people - age group","Total people - sex","2018",120,
"Glen Eden Woodglen","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",537,
"Glen Eden Woodglen","Bicycle","Total people - age group","Total people - sex","2018",9,
"Glen Eden Woodglen","Walk or jog","Total people - age group","Total people - sex","2018",90,
"Glen Eden Woodglen","School bus","Total people - age group","Total people - sex","2018",69,
"Glen Eden Woodglen","Public bus","Total people - age group","Total people - sex","2018",87,
"Glen Eden Woodglen","Train","Total people - age group","Total people - sex","2018",126,
"Glen Eden Woodglen","Ferry","Total people - age group","Total people - sex","2018",0,
"Glen Eden Woodglen","Other","Total people - age group","Total people - sex","2018",9,
"Kelston South","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",678,
"Kelston South","Study at home","Total people - age group","Total people - sex","2018",12,
"Kelston South","Drive a car, truck or van","Total people - age group","Total people - sex","2018",84,
"Kelston South","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",255,
"Kelston South","Bicycle","Total people - age group","Total people - sex","2018",3,
"Kelston South","Walk or jog","Total people - age group","Total people - sex","2018",216,
"Kelston South","School bus","Total people - age group","Total people - sex","2018",12,
"Kelston South","Public bus","Total people - age group","Total people - sex","2018",54,
"Kelston South","Train","Total people - age group","Total people - sex","2018",36,
"Kelston South","Ferry","Total people - age group","Total people - sex","2018",0,
"Kelston South","Other","Total people - age group","Total people - sex","2018",9,
"Ponsonby East","Public bus","Total people - age group","Total people - sex","2018",111,
"Ponsonby East","Train","Total people - age group","Total people - sex","2018",6,
"Ponsonby East","Ferry","Total people - age group","Total people - sex","2018",0,
"Ponsonby East","Other","Total people - age group","Total people - sex","2018",12,
"Stanley Point","Public bus","Total people - age group","Total people - sex","2018",15,
"Stanley Point","Train","Total people - age group","Total people - sex","2018",0,
"Stanley Point","Ferry","Total people - age group","Total people - sex","2018",60,
"Stanley Point","Other","Total people - age group","Total people - sex","2018",3,
"Glen Eden Central","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",861,
"Glen Eden Central","Study at home","Total people - age group","Total people - sex","2018",39,
"Glen Eden Central","Drive a car, truck or van","Total people - age group","Total people - sex","2018",90,
"Glen Eden Central","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",405,
"Glen Eden Central","Bicycle","Total people - age group","Total people - sex","2018",6,
"Glen Eden Central","Walk or jog","Total people - age group","Total people - sex","2018",102,
"Glen Eden Central","School bus","Total people - age group","Total people - sex","2018",33,
"Glen Eden Central","Public bus","Total people - age group","Total people - sex","2018",36,
"Glen Eden Central","Train","Total people - age group","Total people - sex","2018",138,
"Glen Eden Central","Ferry","Total people - age group","Total people - sex","2018",0,
"Glen Eden Central","Other","Total people - age group","Total people - sex","2018",3,
"Grey Lynn North","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",699,
"Grey Lynn North","Study at home","Total people - age group","Total people - sex","2018",30,
"Grey Lynn North","Drive a car, truck or van","Total people - age group","Total people - sex","2018",63,
"Grey Lynn North","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",162,
"Grey Lynn North","Bicycle","Total people - age group","Total people - sex","2018",48,
"Grey Lynn North","Walk or jog","Total people - age group","Total people - sex","2018",228,
"Grey Lynn North","School bus","Total people - age group","Total people - sex","2018",33,
"Grey Lynn North","Public bus","Total people - age group","Total people - sex","2018",114,
"Grey Lynn North","Train","Total people - age group","Total people - sex","2018",9,
"Grey Lynn North","Ferry","Total people - age group","Total people - sex","2018",0,
"Grey Lynn North","Other","Total people - age group","Total people - sex","2018",9,
"Avondale West (Auckland)","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",942,
"Avondale West (Auckland)","Study at home","Total people - age group","Total people - sex","2018",27,
"Avondale West (Auckland)","Drive a car, truck or van","Total people - age group","Total people - sex","2018",126,
"Avondale West (Auckland)","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",378,
"Avondale West (Auckland)","Bicycle","Total people - age group","Total people - sex","2018",0,
"Avondale West (Auckland)","Walk or jog","Total people - age group","Total people - sex","2018",243,
"Avondale West (Auckland)","School bus","Total people - age group","Total people - sex","2018",12,
"Avondale West (Auckland)","Public bus","Total people - age group","Total people - sex","2018",117,
"Avondale West (Auckland)","Train","Total people - age group","Total people - sex","2018",36,
"Avondale West (Auckland)","Ferry","Total people - age group","Total people - sex","2018",0,
"Avondale West (Auckland)","Other","Total people - age group","Total people - sex","2018",9,
"Freemans Bay","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",720,
"Freemans Bay","Study at home","Total people - age group","Total people - sex","2018",51,
"Freemans Bay","Drive a car, truck or van","Total people - age group","Total people - sex","2018",78,
"Freemans Bay","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",114,
"Freemans Bay","Bicycle","Total people - age group","Total people - sex","2018",15,
"Freemans Bay","Walk or jog","Total people - age group","Total people - sex","2018",246,
"Freemans Bay","School bus","Total people - age group","Total people - sex","2018",60,
"Freemans Bay","Public bus","Total people - age group","Total people - sex","2018",135,
"Freemans Bay","Train","Total people - age group","Total people - sex","2018",6,
"Freemans Bay","Ferry","Total people - age group","Total people - sex","2018",0,
"Freemans Bay","Other","Total people - age group","Total people - sex","2018",15,
"Mount Albert West","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",720,
"Mount Albert West","Study at home","Total people - age group","Total people - sex","2018",21,
"Mount Albert West","Drive a car, truck or van","Total people - age group","Total people - sex","2018",63,
"Mount Albert West","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",174,
"Mount Albert West","Bicycle","Total people - age group","Total people - sex","2018",15,
"Mount Albert West","Walk or jog","Total people - age group","Total people - sex","2018",270,
"Mount Albert West","School bus","Total people - age group","Total people - sex","2018",9,
"Mount Albert West","Public bus","Total people - age group","Total people - sex","2018",87,
"Mount Albert West","Train","Total people - age group","Total people - sex","2018",75,
"Mount Albert West","Ferry","Total people - age group","Total people - sex","2018",0,
"Mount Albert West","Other","Total people - age group","Total people - sex","2018",6,
"Avondale North (Auckland)","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1074,
"Avondale North (Auckland)","Study at home","Total people - age group","Total people - sex","2018",45,
"Avondale North (Auckland)","Drive a car, truck or van","Total people - age group","Total people - sex","2018",129,
"Avondale North (Auckland)","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",378,
"Avondale North (Auckland)","Bicycle","Total people - age group","Total people - sex","2018",18,
"Avondale North (Auckland)","Walk or jog","Total people - age group","Total people - sex","2018",198,
"Avondale North (Auckland)","School bus","Total people - age group","Total people - sex","2018",18,
"Avondale North (Auckland)","Public bus","Total people - age group","Total people - sex","2018",207,
"Avondale North (Auckland)","Train","Total people - age group","Total people - sex","2018",72,
"Avondale North (Auckland)","Ferry","Total people - age group","Total people - sex","2018",0,
"Avondale North (Auckland)","Other","Total people - age group","Total people - sex","2018",9,
"Grey Lynn West","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",750,
"Grey Lynn West","Study at home","Total people - age group","Total people - sex","2018",33,
"Grey Lynn West","Drive a car, truck or van","Total people - age group","Total people - sex","2018",78,
"Grey Lynn West","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",192,
"Grey Lynn West","Bicycle","Total people - age group","Total people - sex","2018",48,
"Grey Lynn West","Walk or jog","Total people - age group","Total people - sex","2018",213,
"Grey Lynn West","School bus","Total people - age group","Total people - sex","2018",21,
"Grey Lynn West","Public bus","Total people - age group","Total people - sex","2018",153,
"Grey Lynn West","Train","Total people - age group","Total people - sex","2018",3,
"Grey Lynn West","Ferry","Total people - age group","Total people - sex","2018",0,
"Grey Lynn West","Other","Total people - age group","Total people - sex","2018",6,
"Mount Albert North","Public bus","Total people - age group","Total people - sex","2018",135,
"Mount Albert North","Train","Total people - age group","Total people - sex","2018",117,
"Mount Albert North","Ferry","Total people - age group","Total people - sex","2018",0,
"Mount Albert North","Other","Total people - age group","Total people - sex","2018",12,
"New Lynn North","Public bus","Total people - age group","Total people - sex","2018",75,
"New Lynn North","Train","Total people - age group","Total people - sex","2018",48,
"New Lynn North","Ferry","Total people - age group","Total people - sex","2018",0,
"New Lynn North","Other","Total people - age group","Total people - sex","2018",18,
"Victoria Park","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",537,
"Victoria Park","Study at home","Total people - age group","Total people - sex","2018",24,
"Victoria Park","Drive a car, truck or van","Total people - age group","Total people - sex","2018",39,
"Victoria Park","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",21,
"Victoria Park","Bicycle","Total people - age group","Total people - sex","2018",3,
"Victoria Park","Walk or jog","Total people - age group","Total people - sex","2018",378,
"Victoria Park","School bus","Total people - age group","Total people - sex","2018",0,
"Victoria Park","Public bus","Total people - age group","Total people - sex","2018",54,
"Victoria Park","Train","Total people - age group","Total people - sex","2018",12,
"Victoria Park","Ferry","Total people - age group","Total people - sex","2018",0,
"Victoria Park","Other","Total people - age group","Total people - sex","2018",6,
"Konini","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",969,
"Konini","Study at home","Total people - age group","Total people - sex","2018",45,
"Konini","Drive a car, truck or van","Total people - age group","Total people - sex","2018",108,
"Konini","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",411,
"Konini","Bicycle","Total people - age group","Total people - sex","2018",15,
"Konini","Walk or jog","Total people - age group","Total people - sex","2018",162,
"Konini","School bus","Total people - age group","Total people - sex","2018",69,
"Konini","Public bus","Total people - age group","Total people - sex","2018",57,
"Konini","Train","Total people - age group","Total people - sex","2018",96,
"Konini","Ferry","Total people - age group","Total people - sex","2018",0,
"Konini","Other","Total people - age group","Total people - sex","2018",6,
"New Lynn North West","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",681,
"New Lynn North West","Study at home","Total people - age group","Total people - sex","2018",21,
"New Lynn North West","Drive a car, truck or van","Total people - age group","Total people - sex","2018",84,
"New Lynn North West","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",288,
"New Lynn North West","Bicycle","Total people - age group","Total people - sex","2018",3,
"New Lynn North West","Walk or jog","Total people - age group","Total people - sex","2018",81,
"New Lynn North West","School bus","Total people - age group","Total people - sex","2018",21,
"New Lynn North West","Public bus","Total people - age group","Total people - sex","2018",69,
"New Lynn North West","Train","Total people - age group","Total people - sex","2018",108,
"New Lynn North West","Ferry","Total people - age group","Total people - sex","2018",0,
"New Lynn North West","Other","Total people - age group","Total people - sex","2018",9,
"Hobson Ridge North","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",639,
"Hobson Ridge North","Study at home","Total people - age group","Total people - sex","2018",36,
"Hobson Ridge North","Drive a car, truck or van","Total people - age group","Total people - sex","2018",24,
"Hobson Ridge North","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",27,
"Hobson Ridge North","Bicycle","Total people - age group","Total people - sex","2018",3,
"Hobson Ridge North","Walk or jog","Total people - age group","Total people - sex","2018",405,
"Hobson Ridge North","School bus","Total people - age group","Total people - sex","2018",3,
"Hobson Ridge North","Public bus","Total people - age group","Total people - sex","2018",102,
"Hobson Ridge North","Train","Total people - age group","Total people - sex","2018",27,
"Hobson Ridge North","Ferry","Total people - age group","Total people - sex","2018",0,
"Hobson Ridge North","Other","Total people - age group","Total people - sex","2018",6,
"Fruitvale","Public bus","Total people - age group","Total people - sex","2018",39,
"Fruitvale","Train","Total people - age group","Total people - sex","2018",108,
"Fruitvale","Ferry","Total people - age group","Total people - sex","2018",0,
"Fruitvale","Other","Total people - age group","Total people - sex","2018",9,
"Avondale Central (Auckland)","Public bus","Total people - age group","Total people - sex","2018",114,
"Avondale Central (Auckland)","Train","Total people - age group","Total people - sex","2018",81,
"Avondale Central (Auckland)","Ferry","Total people - age group","Total people - sex","2018",0,
"Avondale Central (Auckland)","Other","Total people - age group","Total people - sex","2018",9,
"Queen Street","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",486,
"Queen Street","Study at home","Total people - age group","Total people - sex","2018",33,
"Queen Street","Drive a car, truck or van","Total people - age group","Total people - sex","2018",24,
"Queen Street","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",21,
"Queen Street","Bicycle","Total people - age group","Total people - sex","2018",0,
"Queen Street","Walk or jog","Total people - age group","Total people - sex","2018",315,
"Queen Street","School bus","Total people - age group","Total people - sex","2018",3,
"Queen Street","Public bus","Total people - age group","Total people - sex","2018",63,
"Queen Street","Train","Total people - age group","Total people - sex","2018",21,
"Queen Street","Ferry","Total people - age group","Total people - sex","2018",0,
"Queen Street","Other","Total people - age group","Total people - sex","2018",6,
"Quay Street-Customs Street","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",561,
"Quay Street-Customs Street","Study at home","Total people - age group","Total people - sex","2018",33,
"Quay Street-Customs Street","Drive a car, truck or van","Total people - age group","Total people - sex","2018",48,
"Quay Street-Customs Street","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",45,
"Quay Street-Customs Street","Bicycle","Total people - age group","Total people - sex","2018",3,
"Quay Street-Customs Street","Walk or jog","Total people - age group","Total people - sex","2018",267,
"Quay Street-Customs Street","School bus","Total people - age group","Total people - sex","2018",9,
"Quay Street-Customs Street","Public bus","Total people - age group","Total people - sex","2018",132,
"Quay Street-Customs Street","Train","Total people - age group","Total people - sex","2018",18,
"Quay Street-Customs Street","Ferry","Total people - age group","Total people - sex","2018",0,
"Quay Street-Customs Street","Other","Total people - age group","Total people - sex","2018",0,
"Hobson Ridge Central","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1347,
"Hobson Ridge Central","Study at home","Total people - age group","Total people - sex","2018",54,
"Hobson Ridge Central","Drive a car, truck or van","Total people - age group","Total people - sex","2018",36,
"Hobson Ridge Central","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",21,
"Hobson Ridge Central","Bicycle","Total people - age group","Total people - sex","2018",6,
"Hobson Ridge Central","Walk or jog","Total people - age group","Total people - sex","2018",960,
"Hobson Ridge Central","School bus","Total people - age group","Total people - sex","2018",15,
"Hobson Ridge Central","Public bus","Total people - age group","Total people - sex","2018",213,
"Hobson Ridge Central","Train","Total people - age group","Total people - sex","2018",24,
"Hobson Ridge Central","Ferry","Total people - age group","Total people - sex","2018",0,
"Hobson Ridge Central","Other","Total people - age group","Total people - sex","2018",18,
"Grey Lynn East","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",333,
"Grey Lynn East","Study at home","Total people - age group","Total people - sex","2018",27,
"Grey Lynn East","Drive a car, truck or van","Total people - age group","Total people - sex","2018",33,
"Grey Lynn East","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",51,
"Grey Lynn East","Bicycle","Total people - age group","Total people - sex","2018",12,
"Grey Lynn East","Walk or jog","Total people - age group","Total people - sex","2018",120,
"Grey Lynn East","School bus","Total people - age group","Total people - sex","2018",12,
"Grey Lynn East","Public bus","Total people - age group","Total people - sex","2018",66,
"Grey Lynn East","Train","Total people - age group","Total people - sex","2018",3,
"Grey Lynn East","Ferry","Total people - age group","Total people - sex","2018",0,
