Area,Ethnic group,Number of languages spoken,Age group,Sex,Year,Value,Flags
"Riversdale-Islington","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",27,
"Riversdale-Islington","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2319,
"Riversdale-Islington","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Whitney East","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Whitney East","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2394,
"Whitney East","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Redwoodtown West","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Redwoodtown West","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2613,
"Redwoodtown West","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Witherlea West","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",45,
"Witherlea West","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2601,
"Witherlea West","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Redwoodtown East","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",51,
"Redwoodtown East","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2742,
"Redwoodtown East","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Riverlands","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",12,
"Riverlands","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",465,
"Riverlands","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Witherlea East","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",54,
"Witherlea East","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2808,
"Witherlea East","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Inlet Wairau River","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Inlet Wairau River","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Inlet Wairau River","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Oceanic Marlborough Region","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Oceanic Marlborough Region","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Oceanic Marlborough Region","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Oceanic Marlborough Region","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Karamea","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"Karamea","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",24,
"Karamea","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",714,
"Karamea","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Inlets Buller District","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Inlets Buller District","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Inlets Buller District","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Inlets Buller District","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Westport North","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Westport North","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Westport North","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1893,
"Westport North","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Westport Rural","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Westport Rural","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",24,
"Westport Rural","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1260,
"Westport Rural","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Westport South","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",42,
"Westport South","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Westport South","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2496,
"Westport South","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Buller Coalfields","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",12,
"Buller Coalfields","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",27,
"Buller Coalfields","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",909,
"Buller Coalfields","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Charleston (Buller District)","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3,
"Charleston (Buller District)","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Charleston (Buller District)","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",522,
"Charleston (Buller District)","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Inangahua","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",6,
"Inangahua","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Inangahua","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",864,
"Inangahua","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Reefton","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Reefton","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",24,
"Reefton","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",927,
"Reefton","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Barrytown","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Barrytown","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",24,
"Barrytown","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",939,
"Barrytown","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Runanga","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Runanga","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Runanga","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1185,
"Runanga","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Cobden","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",30,
"Cobden","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",27,
"Cobden","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1551,
"Cobden","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Blaketown","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Blaketown","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Blaketown","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",810,
"Blaketown","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Greymouth Central","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Greymouth Central","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Greymouth Central","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",978,
"Greymouth Central","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"King Park","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"King Park","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"King Park","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1053,
"King Park","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Marsden","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Marsden","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Marsden","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1221,
"Marsden","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Karoro","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",6,
"Karoro","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Karoro","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1017,
"Karoro","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Rutherglen-Camerons","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Rutherglen-Camerons","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",6,
"Rutherglen-Camerons","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1332,
"Rutherglen-Camerons","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Greymouth Rural","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3,
"Greymouth Rural","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",12,
"Greymouth Rural","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",693,
"Greymouth Rural","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Dobson","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3,
"Dobson","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Dobson","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",828,
"Dobson","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Nelson Creek","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Nelson Creek","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Nelson Creek","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",669,
"Nelson Creek","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Lake Brunner","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Lake Brunner","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1065,
"Lake Brunner","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Haast","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",12,
"Haast","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",6,
"Haast","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",258,
"Haast","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Westland Glaciers-Bruce Bay","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",51,
"Westland Glaciers-Bruce Bay","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Westland Glaciers-Bruce Bay","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1074,
"Westland Glaciers-Bruce Bay","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Arahura-Kumara","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",12,
"Arahura-Kumara","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Arahura-Kumara","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1233,
"Arahura-Kumara","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Hokitika","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Hokitika","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2892,
"Hokitika","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Inlets Westland District","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Inlets Westland District","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Inlets Westland District","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Inlets Westland District","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Hokitika Rural","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",6,
"Hokitika Rural","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",33,
"Hokitika Rural","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1440,
"Hokitika Rural","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Waitaha","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3,
"Waitaha","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Waitaha","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",450,
"Waitaha","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Whataroa-Harihari","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"Whataroa-Harihari","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",642,
"Whataroa-Harihari","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Hokitika Valley-Otira","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",6,
"Hokitika Valley-Otira","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",27,
"Hokitika Valley-Otira","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",651,
"Hokitika Valley-Otira","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Oceanic West Coast Region","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Oceanic West Coast Region","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Oceanic West Coast Region","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Oceanic West Coast Region","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Kaikoura Ranges","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",12,
"Kaikoura Ranges","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",33,
"Kaikoura Ranges","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1689,
"Kaikoura Ranges","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Kaikoura","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Kaikoura","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",33,
"Kaikoura","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2223,
"Kaikoura","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Hanmer Range","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Hanmer Range","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3,
"Hanmer Range","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",261,
"Hanmer Range","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Amuri","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Amuri","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",27,
"Amuri","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2223,
"Amuri","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Hanmer Springs","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",6,
"Hanmer Springs","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",6,
"Hanmer Springs","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",960,
"Hanmer Springs","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Upper Hurunui","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",24,
"Upper Hurunui","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"Upper Hurunui","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1473,
"Upper Hurunui","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Parnassus","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"Parnassus","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"Parnassus","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1323,
"Parnassus","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Ashley Forest","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3,
"Ashley Forest","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3,
"Ashley Forest","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",669,
"Ashley Forest","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Omihi","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Omihi","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"Omihi","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1242,
"Omihi","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Balcairn","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",30,
"Balcairn","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Balcairn","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2343,
"Balcairn","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Amberley","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",24,
"Amberley","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",42,
"Amberley","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2067,
"Amberley","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Okuku","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Okuku","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Okuku","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",726,
"Okuku","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Ashley Gorge","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",12,
"Ashley Gorge","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Ashley Gorge","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1134,
"Ashley Gorge","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Oxford","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"Oxford","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",39,
"Oxford","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2214,
"Oxford","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Starvation Hill-Cust","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",6,
"Starvation Hill-Cust","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",45,
"Starvation Hill-Cust","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2217,
"Starvation Hill-Cust","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Loburn","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",30,
"Loburn","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Loburn","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2175,
"Loburn","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Waikuku","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"Waikuku","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1635,
"Waikuku","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Mandeville-Ohoka","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Mandeville-Ohoka","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",33,
"Mandeville-Ohoka","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3210,
"Mandeville-Ohoka","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Rangiora South East","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",45,
"Rangiora South East","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",24,
"Rangiora South East","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2178,
"Rangiora South East","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Southbrook","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Southbrook","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",12,
"Southbrook","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",771,
"Southbrook","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Swannanoa-Eyreton","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Swannanoa-Eyreton","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",24,
"Swannanoa-Eyreton","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",954,
"Swannanoa-Eyreton","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Tuahiwi","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Tuahiwi","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Tuahiwi","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",945,
"Tuahiwi","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Woodend","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",45,
"Woodend","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Woodend","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2784,
"Woodend","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Pegasus","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",42,
"Pegasus","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",48,
"Pegasus","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2637,
"Pegasus","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Clarkville","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Clarkville","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Waikuku","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"Lilybrook","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Lilybrook","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2949,
"Lilybrook","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",27,
"Lilybrook","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",54,
"Rangiora South West","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Rangiora South West","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2340,
"Rangiora South West","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",30,
"Rangiora South West","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Rangiora Central","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Rangiora Central","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Rangiora Central","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Rangiora Central","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Oxford Estate","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Oxford Estate","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1314,
"Oxford Estate","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"Oxford Estate","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",9,
"Rangiora North East","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Rangiora North East","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1812,
"Rangiora North East","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Rangiora North East","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",21,
"Ashgrove","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Ashgrove","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1530,
"Ashgrove","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Ashgrove","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
"Kingsbury","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Kingsbury","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2778,
"Kingsbury","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",30,
"Kingsbury","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Rangiora North West","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Rangiora North West","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2133,
"Rangiora North West","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",24,
"Rangiora North West","Pacific Peoples","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",15,
"Fernside","Not elsewhere included","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Fernside","Total people stated","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1326,
"Fernside","Other ethnicity","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",18,
